Energy Transfer (eV)	lambda:VB-A1	lambda:VB-A2	lambda:VB-A3	lambda:VB-B1	lambda:VB-B2	lambda:VB-B3	lambda:VB-C1	lambda:VB-C2	lambda:VB-C3	lambda:VB-D1	lambda:VB-D2	lambda:VB-D3	lambda:VB-E1	lambda:VB-E2	lambda:HL-D1	lambda:HL-D2	lambda:HL-D3	lambda:HL-E1	lambda:HL-E2	lambda:HL-E3	lambda:VU-A1	lambda:VU-A2	lambda:VU-A3	lambda:VU-B2	lambda:VU-B3	lambda:VU-C1	lambda:VU-C2	lambda:VU-C3	lambda:VU-D1	lambda:VU-D2	lambda:VU-D3	lambda:VU-E1	lambda:VU-E3	lambda:VD-C2	lambda:VD-D1	lambda:VD-D2	lambda:VD-D3	lambda:VD-E1	lambda:VD-E2	lambda:VD-E3	minipix:VB-A1	minipix:VB-B1	minipix:VB-C1	minipix:VB-D1	minipix:VB-E1	minipix:VU-A1	minipix:VU-B1	minipix:VU-E1	minipix:VD-A1	minipix:VD-B1	minipix:VD-C1
420.0	25324.580745881547	25671.798175416996	35078.02783521118	23831.062684687146	13927.085437033898	34218.0419272541	13203.37440455034	17665.72509880244	17133.467276970932	11433.639422740258	14543.208431390387	10324.160279237216	12970.452932226272	14838.013005134331	10.953223948518087	4.506010473010746	3.8631951364403365	20.804079903286226	24.270423158963915	6.613079490837906	15.022528695949225	96.63523071818015	2924.4737460252595	3136.2787384951407	989.0673686988391	7.965754966147882	8.390698569166856	11.947614232828796	4.970998266613702	6.107833643278141	7.97820070575877	4.042445482624984	10.796454530424496	1.084728853429215	13.46184010718412	1.115648362020027	0.4893093303590047	86.67821630018487	1.9939756480219268	0.504091017565439	110.09251308975769	143.04104537959827	132.71944484198195	3.0034789691622494	0.0	88.757250263577	279.9476213837081	0.0	31.21157170503921	127.17419262714063	71.95918416276024
420.2	25299.71185343111	25669.50363039256	35029.713785105014	23805.189821789303	13929.10888576195	34136.91910351476	13168.507109274342	17640.272138428187	17131.651907196752	11408.703705578908	14515.50433558567	10305.480560707934	12930.798078328166	14798.410217898514	11.066135474423177	4.514990725103149	3.8128778855577803	20.608962580306834	24.36170389924534	6.48869112013179	15.156547437809795	95.62577064551166	2918.7037735912613	3131.88814003161	986.6902615201551	7.75678533125608	8.565207812602045	12.131874292788126	4.871806487740763	6.08005533679581	8.176463818134962	4.116330866152727	10.945539383675111	1.1562722483620147	13.463919389409007	1.1510899308438405	0.4896270287202127	87.48886838620341	2.06518891431214	0.44334358225926823	107.54837164868758	143.95508628621135	131.19933115338654	2.9796539177378754	0.0	88.77285313987561	280.2029707374043	0.0	32.15407762046376	128.34067464273502	71.27302998906845
420.4	25274.84296098067	25667.20908536812	35019.810345294805	23779.31695889146	13931.132334490001	34055.79627977542	13133.639813998345	17614.81917805394	17129.836537422572	11383.767988417558	14487.800239780954	10286.800842178654	12906.338717724235	14758.807430662695	11.179047000328266	4.523970977195551	3.7625606346752236	20.41384525732744	24.51370561847822	6.445977225915019	15.290566179670366	94.61631057284319	2912.9338011572627	3127.4975415680797	984.3131543414711	7.547815696364278	8.739717056037234	12.316134352747454	4.772614708867824	6.052277030313478	8.374726930511155	4.195383728327929	11.094624236925727	1.2278156432948144	13.262132714835321	1.1865314996676537	0.5013308421139548	88.29952047222194	2.136402180602353	0.3825961469530974	105.44553525572785	144.86912719282446	130.11233005121838	2.9558288663135013	0.0	88.7884560161742	280.4583200911005	0.0	33.09658353588831	129.5071566583294	68.06011236196728
420.6	25249.974068530224	25664.914540343678	35029.03295779017	23753.44409599361	13933.155783218052	33974.673456036064	13098.772518722339	17589.36621767968	17128.021167648392	11358.8322712562	14470.091930490004	10268.121123649367	12881.879357120297	14719.204643426865	11.291958526233387	4.532951229287956	3.7122433837926527	20.218727934347996	24.66570733771114	6.451779137069022	15.424584921530974	93.66815231461455	2907.1638287232627	3123.1069431045476	981.9360471627864	7.338846061472418	8.914226299472473	12.500394412706834	4.6734229299948575	6.0244987238311385	8.572990042887403	4.274436590503154	11.243709090176385	1.2993590382276345	13.060346040261576	1.221973068491477	0.5130346555077004	89.1101725582407	2.183623272710113	0.3218487116469094	106.78938054034424	145.7831680994378	131.02242516753876	2.93200381488912	0.0	88.80405889247281	280.68169753210725	0.0	34.039089451313124	130.67363867392413	64.84719473486521
420.8	25233.993971825632	25662.619995319237	35038.25557028553	23727.571233095772	13935.179231946102	33893.55063229673	13069.658827788517	17563.913257305427	17126.205797874212	11333.89655409485	14456.72695155759	10249.441405120087	12857.419996516364	14679.601856191046	11.404870052138476	4.541931481380359	3.6619261329100965	20.023610611368603	24.817709056944018	6.457581048223023	15.558603663391546	94.19461523871232	2901.2985806795937	3118.7163446410173	979.5589399841024	7.129876426580616	9.088735542907662	12.684654472666162	4.705597998002083	5.996720417348806	8.771253155263596	4.353489452678356	11.392793943427	1.3709024331604343	12.858559365687888	1.2574146373152901	0.5247384689014426	89.81415309683234	2.218115084364638	0.26110127634073854	108.13322582496025	146.69720900605088	131.9325202838589	2.908178763464746	0.0	88.81966176877141	280.2770622057543	0.0	34.98159536673767	131.84012068951853	61.63427710776405
421.0	25218.39569441209	25659.01756469641	35047.4781827809	23701.69837019793	13937.202680674154	33812.42780855739	13053.210935520268	17538.460296931178	17124.390428100032	11308.9608369335	14443.361972625175	10224.896084507232	12832.960635912434	14639.999068955229	11.517781578043564	4.550911733472761	3.6116088820275403	19.82849328838921	24.969710776176893	6.463382959377023	15.692622405252116	94.72107816281009	2895.3469725540076	3114.3257461774865	977.1818328054184	7.108612397759023	9.26324478634285	12.86891453262549	4.772256130529869	5.968942110866474	8.969516267639786	4.432542314853558	11.376125543169636	1.442445828093234	12.6567726911142	1.2928562061391033	0.5364422822951848	89.87688404709397	2.252606896019163	0.2478461496550098	109.47707110957627	147.611249912664	132.84261540017903	2.9594169988117476	0.0	88.83526464507	279.87242687940136	0.0	35.924101282162226	132.622023737017	58.42135948066289
421.2	25202.797416998554	25627.00569059252	35056.70079527626	23675.825507300087	13939.226129402205	33731.30498481805	13036.763043252022	17513.007336556926	17122.575058325852	11284.02511977215	14429.99699369276	10196.259160022768	12808.501275308503	14600.39628171941	11.630693103948653	4.559891985565163	3.5612916311449836	19.633375965409822	25.12171249540977	6.469184870531024	15.826641147112687	95.24754108690786	2889.395364428421	3109.935147713956	974.9310057957978	7.232215757639079	9.263144353023435	13.057640855025502	4.838914263057656	5.941163804384143	9.167779380015979	4.51159517702876	11.247038083124345	1.5139892230260337	12.454986016540515	1.320484908003557	0.548146095688927	89.93961499735558	2.287098707673688	0.2596471513417128	110.82091639419228	148.52529081927707	133.75271051649915	3.0416738212105296	0.0	88.8508675213686	279.46779155304836	0.0	36.866607197586774	131.7756571379708	55.20844185356173
421.4	25187.199139585013	25594.993816488633	35065.92340777162	23649.952644402245	13941.249578130255	33650.18216107872	13020.315150983773	17488.649658752467	17113.103519622244	11263.57533799383	14416.632014760344	10167.622235538303	12784.04191470457	14560.79349448359	11.743604629853742	4.46390815856822	3.5109743802624274	19.45188940200272	25.273714214642645	6.4749867816850255	15.960659888973257	95.77400401100562	2883.443756302835	3105.5445492504255	972.9638804064815	7.355819117519134	9.20708435862669	13.246784920570054	4.905572395585443	5.913385497901811	9.366042492392172	4.590648039203963	11.117950623079055	1.5855326179588334	12.253199341966827	1.3196496473817718	0.5598499090826692	90.00234594761719	2.3215905193282134	0.27144815302841574	112.16476167880829	149.43933172589016	134.6628056328193	3.1239306436093117	0.0	88.8664703976672	279.0631562266954	0.0	37.80911311301132	130.92929053892456	51.995524226460574
421.6	25171.600862171468	25562.981942384737	35075.146020266984	23624.51803689376	13943.273026858305	33569.059337339364	13003.86725871552	17466.108766008652	17071.406843551358	11243.830570540385	14403.267035827927	10138.98531105383	12759.582554100632	14519.769033618815	11.856516155758865	4.32954117298653	3.4606571293798565	19.487399760044553	25.425715933875566	6.4807886928390275	16.094678630833865	96.30046693510354	2877.492148177247	3101.153950786894	970.9967550171647	7.4794224773992255	9.151024364229926	13.435928986114659	4.972230528113249	5.885607191419472	9.56430560476842	4.669700901379187	10.988863163033729	1.6570760128916535	12.051412667393082	1.3188143867599864	0.5715537224764147	90.06507689787882	2.356082330982748	0.283249154715122	113.50860696342468	150.35337263250352	135.57290074913968	3.2061874660081173	0.0	88.85617596930099	278.65852090034235	0.0	38.75161902843614	130.08292393987813	48.7826065993585
421.8	25156.002584757927	25530.97006828085	35084.36863276234	23612.60043877712	13921.407897985722	33573.42422830426	12987.419366447271	17443.567873264845	17029.710167480487	11224.085803086946	14389.902056895511	10110.348386569365	12735.123193496702	14478.661568226593	11.969427681663953	4.195174187404879	3.4798466109945165	19.522910118086372	25.577717653108444	6.486590603993029	16.22317520244112	96.8269298592013	2871.540540051661	3097.12779310422	969.0296296278484	7.603025837279281	9.09496436983318	13.62507305165921	5.038888660641035	5.85782888493714	9.762568717144612	4.748753763554389	10.859775702988438	1.6801362438678853	11.849625992819394	1.3179791261382012	0.5832575358701569	90.12780784814043	2.390574142637273	0.29505015640182497	114.8524522480407	151.31587314884015	136.48299586545983	3.2884442884068994	0.0	88.6308954733966	278.2538855739894	0.0	39.300495713892815	129.2365573408319	45.56968897225734
422.0	25140.404307344386	25498.958194176965	35093.5912452577	23600.68284066048	13896.748675629558	33587.655470863916	12970.971474179023	17421.026980521037	16988.013491409612	11204.341035633504	14376.537077963096	10081.7114620849	12710.66383289277	14437.554102834369	12.081679624233233	4.060807201823227	3.5002781055225136	19.55842047612819	25.729719372341318	6.49239251514703	16.148798116021517	97.35339278329907	2865.588931926075	3093.3013971058745	967.0625042385321	7.726629197159338	9.038904375436433	13.814217117203764	5.1055467931688225	5.916648293482948	9.615165358120032	4.827806625729591	10.730688242943149	1.679073184894704	11.647839318245708	1.317143865516416	0.5949613492638991	90.19053879840205	2.425065954291798	0.3068511580885279	116.19629753265671	152.35594802876378	137.39309098177995	3.3707011108056815	0.0	88.40561497749222	277.84925024763646	0.0	39.1451653970555	128.3901907417857	42.356771345156176
422.2	25124.806029930845	25466.946320073075	35102.81385775307	23588.76524254384	13872.089453273395	33601.88671342357	12954.523581910775	17398.486087777226	16946.31681533874	11184.596268180065	14363.172099030682	10053.074537600436	12684.421022632097	14396.446637442144	12.193615018396372	3.9264402162415752	3.520709600050511	19.593930834170013	25.64650496003562	6.498194426301031	16.074421029601915	97.87985570739684	2859.6373238004885	3089.4750011075294	965.095378849216	7.850232557039393	8.982844381039687	14.003361182748316	5.172204925696609	6.0413690802262945	9.4284622146045	4.757540164793511	10.60160078289786	1.678010125921523	11.697707365899694	1.3163086048946309	0.5870989993322767	90.25326974866366	2.459557765946323	0.31865215977523087	117.54014281727272	153.3960229086874	138.30318609810007	3.4529579332044635	0.0	88.18033448158782	277.4446149212835	0.0	38.98983508021819	127.54382414273947	40.086654468492185
422.4	25109.207752517304	25434.93444596919	35078.196317767986	23576.8476444272	13847.43023091723	33616.11795598322	12938.075689642526	17375.94519503342	16904.620139267867	11164.851500726625	14349.807120098267	10024.437613115972	12643.774662852506	14355.339172049922	12.305550412559509	3.792073230659924	3.5411410945785087	19.629441192211832	25.4803363451993	6.5361427224400135	16.000043943182312	98.4063186314946	2853.6857156749024	3085.648605109184	963.1282534598997	7.973835916919449	8.92678438664294	14.192505248292868	5.238863058224395	6.1660898669696405	9.241759071088966	4.643723237207433	10.472513322852569	1.676947066948342	12.132673907064135	1.315473344272846	0.5628136009046829	90.31600069892528	2.4940495776008484	0.3304531614619338	118.92484553775341	154.43609778861102	138.5163616863581	3.535214755603245	0.0	87.95505398568343	277.03997959493057	0.0	38.834504763380885	126.69745754369326	42.061566910625515
422.6	25093.60947510376	25402.922571865292	35037.50466976268	23564.930046310554	13822.77100856106	33630.349198542885	12921.627797374274	17353.404302289604	16862.923463196985	11145.106733273178	14313.966305507241	9995.8006886315	12603.1283030729	14314.231706657687	12.417485806722679	3.6577062450782343	3.5615725891065115	19.66495155025366	25.31416773036294	6.592017059172198	15.925666856762689	98.83717291940614	2847.7341075493146	3081.8222091108373	961.1611280705829	8.097439276799541	8.870724392246178	14.381649313837473	5.305521190752201	6.290810653713023	9.05505592757338	4.529906309621323	10.343425862807242	1.6758840079751605	12.567640448228696	1.3146380836510605	0.5385282024770823	90.3787316491869	2.503775883129905	0.34225416314864016	120.5772279810062	155.47617266853493	135.96614086833267	3.6174715780020508	0.0	87.72977348977898	276.75517227797104	0.0	38.67917444654353	125.8510909446468	44.03647935275941
422.8	25059.35792630481	25370.910697761406	34996.81302175739	23553.012448193913	13798.111786204898	33644.58044110254	12906.803976848765	17330.863409545796	16821.22678712611	11125.361965819739	14269.211260311931	9967.163764147035	12562.481943293305	14273.124241265463	12.529421200885816	3.523339259496583	3.582004083634509	19.700461908295484	25.14799911552662	6.647891395904367	15.851289770343087	97.7384768540989	2846.356014116225	3077.995813112492	959.1940026812666	8.221042636679597	8.81466439784943	14.570793379382025	5.420278590179535	6.41553144045637	8.868352784057846	4.416089382035245	10.214338402761953	1.6748209490019794	13.002606989393135	1.3138028230292753	0.5142428040494885	90.37175767403615	2.501429286716995	0.3540551648353431	122.22961042425852	156.51624754845855	133.415920050308	3.699728400400833	0.0	87.50449299387459	278.12941122615024	0.0	38.52384412970622	125.0047243456006	46.01139179489274
423.0	25024.681552553473	25341.22819218987	34956.121373752096	23541.094850077272	13773.452563848734	33658.81168366219	12895.19611917374	17308.32251680199	16779.53011105524	11105.617198366299	14224.45621511662	9949.427172648575	12521.835583513712	14232.016775873239	12.641356595048954	3.3889722739149315	3.6024355781625066	19.735972266337303	24.981830500690304	6.703765732636535	15.776912683923484	96.63978078879165	2848.886551523647	3074.1694171141467	957.2268772919504	8.299751253917453	8.758604403452685	14.759937444926576	5.546558972247482	6.540252227199716	8.681649640542313	4.302272454449167	10.149735661099436	1.6737578900287984	13.437573530557573	1.3129675624074901	0.48995740562189477	90.00299232862025	2.4990826903040846	0.3656539585209382	123.88199286751085	157.55632242838217	130.8656992322833	3.9035867617271314	0.0	87.2792124979702	279.50365017432944	0.0	38.368513812868905	123.87850146706728	47.98630423702606
423.2	24990.005178802137	25348.924838935665	34915.429725746806	23529.17725196063	13748.79334149257	33673.042926221846	12883.588261498713	17285.78162405818	16737.833434984368	11085.872430912857	14179.701169921309	9938.84517025615	12481.18922373412	14190.909310481016	12.75329198921209	3.2546052883332797	3.6228670726905037	19.77148262437912	24.815661885853988	6.759640069368704	15.702535597503882	95.54108472348442	2851.4170889310685	3070.3430211158015	956.0176471211439	8.345823568284645	8.726364224545872	14.44523863142826	5.672839354315428	6.6649730139430625	8.49494649702678	4.1884555268630885	10.126271473466796	1.6726948310556173	13.872540071722014	1.3009479505783381	0.465672007194301	89.63422698320434	2.4967360938911742	0.3771547466777211	125.53437531076317	158.5963973083058	128.31547841425862	4.152243057769678	0.0	87.0539320020658	280.87788912250863	0.0	38.2131834960316	121.6717128997834	49.96121667915939
423.4	24955.328805050798	25356.621485681462	34874.73807774152	23517.25965384399	13724.134119136406	33687.2741687815	12871.980403823687	17261.209699249368	16704.06050674157	11063.2543520295	14134.946124725999	9928.263167863726	12440.542863954526	14149.801845088792	12.86522738337523	3.2900278758739465	3.643298567218501	19.804622105445024	24.64949327101767	6.815514406100872	15.62815851108428	94.44238865817718	2853.9476263384904	3066.516625117456	956.3993834114776	8.391895882651838	8.701160950241341	14.092101815743838	5.799119736383375	6.7896938006864085	8.308243353511246	4.07463859927701	10.102807285834155	1.671631772082436	14.307506612886453	1.2523747161656382	0.4413866087667072	89.26546163778843	2.494389497478264	0.38865553483450394	127.18675775401549	159.63647218822942	125.76525759623392	4.400899353812226	0.0	86.82865150616142	282.25212807068783	0.0	38.05785317919428	119.46492433249954	51.93612912129272
423.6	24920.65243129945	25364.318132427263	34834.046429736205	23504.113156812902	13699.474896780235	33701.50541134115	12860.372546148657	17233.527432331655	16700.712336503788	11040.255927955453	14090.191079530676	9917.681165471298	12399.896504174922	14128.483306169192	12.977162777538398	3.381698953069248	3.6637300617465045	19.809744851945943	24.483324656181306	6.871388742833056	15.553781424664656	93.34369259286962	2856.4781637459128	3062.6902291191095	956.7811197018115	8.437968197019044	8.675957675936806	13.738965000059316	5.925400118451358	6.914414587429791	8.12154020999566	3.9608216716909	10.079343098201507	1.6705687131092548	14.742473154051014	1.2038014817529248	0.4171012103391066	88.89669629237241	2.492042901065353	0.40015632299129006	128.83914019726828	160.67654706815333	123.21503677820851	4.649555649854843	0.0	86.90866777937613	283.62636701886737	0.0	37.90252286235693	117.25813576521503	53.911041563426615
423.8	24885.976057548116	25372.01477917306	34793.354781730915	23467.77513918978	13705.475762529633	33657.49655992546	12848.764688473631	17205.845165413954	16697.364166266	11017.257503881416	14045.436034335366	9907.099163078874	12359.250144395328	14108.000337813595	13.089098171701536	3.473370030264524	3.632445704234477	19.81486759844686	24.317156041344987	6.927263079565225	15.477825334735774	92.24499652756238	2859.008701153334	3059.8603920489386	957.1628559921453	8.484040511386238	8.650754401632275	13.385828184374892	6.051680500519304	7.039135374173137	7.934837066480127	3.8470047441048223	10.055878910568866	1.65290649868539	15.177439695215453	1.155228247340225	0.3928158119115128	88.52793094695652	2.489696304652443	0.4116571111480729	130.4915226405206	161.05942568423157	120.66481596018383	4.8982119458973905	0.0	89.18253139782605	285.00060596704657	0.0	38.03480831777845	115.05134719793116	55.885954005559945
424.0	24851.29968379678	25379.711425918857	34752.663133725626	23431.437121566654	13714.511345986111	33607.509637452116	12837.156830798605	17178.162898496248	16694.015996028218	10994.259079807376	14000.680989140055	9896.51716068645	12318.603784615734	14087.517369457999	12.868092297075487	3.565041107459799	3.6010107026890137	19.819990344947776	24.15098742650867	6.983137416297393	15.365075676484025	91.14630046225514	2861.539238560756	3057.5425840367475	957.544592282479	8.53011282575343	8.625551127327746	13.03269136869047	6.177960882587252	7.089294411369072	7.861800912419812	3.733187816518744	10.032414722936226	1.6276700686452432	15.612406236379893	1.1066550129275252	0.3685304134839191	88.15916560154061	2.487349708239533	0.42315789930485576	132.14390508377292	160.47041697233118	118.11459514215915	5.146868241939938	0.0	91.45639501627599	286.37484491522576	0.0	38.659070932461695	112.84455863064728	57.860866447693276
