roi_id	detector	crystal	module	x1	x2	y1	y2	mask_pixels	center	width	height	background	r-square	automatic_exclusion_reasons	q_ave	dq_ave	q_range	dq_range	automatic_accepted	final_exclusion_reasons	final_selected
lambda:HL-A2	lambda	HL-A2	HL	31	61	355	385	29	9681.901033013688	0.002464418029213868	1422.400301230733	0.048359082852513606	0.1627840248371344	r_squared_below_threshold	3.827209514756817	0.4317381150509162	0.17550074752220413	0.015025601168919323	False	r_squared_below_threshold	False
lambda:HL-A3	lambda	HL-A3	HL	3	33	433	463	13	9687.59296392104	0.06971266056170587	0.17460235210859595	0.021733172712060888	0.2433961012656506	r_squared_below_threshold	3.8626499508430987	0.4312283294530359	0.17644048262538758	0.015084177210302696	False	r_squared_below_threshold	False
lambda:HL-B1	lambda	HL-B1	HL	65	95	292	322	26	9681.304897754064	0.002419086101472533	1653.4628785412744	0.040262733731717855	0.3207826872319991	r_squared_below_threshold	4.410398029083092	0.4196380842314678	0.19624920339757157	0.015173068312034466	False	r_squared_below_threshold	False
lambda:HL-B2	lambda	HL-B2	HL	87	117	366	396	26	9686.35101864425	0.32602537837186135	0.22025241948309612	0.04197431926448993	0.13066442222198926	r_squared_below_threshold	4.385171425073909	0.42035043504341535	0.19510692003792585	0.01520074763864332	False	r_squared_below_threshold	False
lambda:HL-B3	lambda	HL-B3	HL	51	81	428	458	16	9681.389278848812	0.0451075590522914	0.07634460221532259	0.031628040274573894	0.09326776522468183	r_squared_below_threshold	4.4104152333502205	0.4196401045320884	0.19624598981047825	0.015173519487353404	False	r_squared_below_threshold	False
lambda:HL-C1	lambda	HL-C1	HL	126	156	291	321	42	9681.191045132402	0.41138224891007297	0.7224144791211065	0.050194134054218784	0.6354508556539908	r_squared_below_threshold	4.944644176856399	0.40657941910974893	0.21581094782791155	0.015046294975031627	False	r_squared_below_threshold	False
lambda:HL-C2	lambda	HL-C2	HL	142	172	360	390	53	9681.049005381046	0.23495101833075818	0.8321834749296693	0.0814199314246962	0.455656318745409	r_squared_below_threshold	4.925025291675113	0.40709010763832243	0.2150909526081417	0.015053952889094224	False	r_squared_below_threshold	False
lambda:HL-C3	lambda	HL-C3	HL	129	159	436	466	23	9683.088678693808	0.0020798180207458944	2332.3696146040643	0.03429043000234286	0.3550255963486082	r_squared_below_threshold	4.945088396621786	0.4066225796792126	0.21575043856803156	0.015054455368261443	False	r_squared_below_threshold	False
lambda:HL-D1	lambda	HL-D1	HL	163	193	300	330	58	9680.617706613544	0.7175625163221235	296.0527936278183	-4.550088376052057	0.9837783427102219		5.461656192071985	0.391962314324521	0.23512720834570722	0.014738073555881304	True		True
lambda:HL-D2	lambda	HL-D2	HL	188	218	377	407	16	9681.229011634909	1.3638406185791563	197.68152768036632	-8.295148989346291	0.8689500786099493		5.4478025926221845	0.3923985039576005	0.2345838986065658	0.01475065839136075	True		True
lambda:HL-D3	lambda	HL-D3	HL	154	184	453	483	71	9682.875269624483	1.0132579607553756	72.89386958316572	-2.0751076243376887	0.9538284047127039		5.462249475910518	0.3920111358280406	0.2350666361403464	0.014746084292326045	True		True
lambda:HL-E1	lambda	HL-E1	HL	202	232	300	330	42	9681.094384911114	0.9219878602356021	418.0455691839027	-9.995056918883451	0.9735511395875106		5.959557524470331	0.3758896703892538	0.25394579839161224	0.014298489051784602	True		True
lambda:HL-E2	lambda	HL-E2	HL	220	250	381	411	59	9682.426636153672	1.0027076836111914	357.1787088978138	-7.534297913524747	0.9706036380223544		5.950691160198637	0.3762355625884221	0.2535636621546562	0.014311921879608336	True		True
